,num_registro,sd_16,sd_15,sd_14,sd_13,sd_12,sd_11,sd_10,sd_9,sd_8,sd_7,sd_6,sd_5,sd_4,sd_3,sd_2,sd_1,prom_venta,Prediccion01,Prediccion23
64,37320636372177,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2.75,00,00
65,37318722642977,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2.0,00,00
66,37302478322677,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1.5,00,00
67,37302257682577,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.5,00,00
68,37300409851777,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.0,00,00
69,37324341440377,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2.0,00,00
70,37314782283877,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,4.0,00,00
71,37315386038477,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1.5,00,00
72,37318634099777,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,238.0,00,00
73,37311610211077,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.0,00,00
74,37313575182177,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0,00,00
75,37312576667577,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3.0,00,00
76,37320606206777,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11.5,00,00
77,37318432517777,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,00,00
78,37311469973477,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,00,00
79,37321893606177,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1.0,10,00
80,37323797516177,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1.0,00,00
81,37320348951577,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,00,10
82,37316390725477,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3.3,00,00
83,37314596589577,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1.0,01,00
84,37320968849577,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,5.5,01,00
85,37323373292777,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1.0,00,00
86,37350489472477,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.3,00,10
87,37315276233777,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3.0,00,00
88,37315668138177,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,00,00
89,37319592864077,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,00,00
90,37315270797677,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,00,10
